2026-03-15 01:27:49 configure openjdk-21-jdk-headless:amd64 21.0.9+10-1~25.04 <none>
2026-03-15 01:27:49 status unpacked openjdk-21-jdk-headless:amd64 21.0.9+10-1~25.04
2026-03-15 01:27:49 status half-configured openjdk-21-jdk-headless:amd64 21.0.9+10-1~25.04
2026-03-15 01:27:49 status installed openjdk-21-jdk-headless:amd64 21.0.9+10-1~25.04
2026-03-15 01:27:49 configure default-jre-headless:amd64 2:1.21-76 <none>
2026-03-15 01:27:49 status unpacked default-jre-headless:amd64 2:1.21-76
2026-03-15 01:27:49 status half-configured default-jre-headless:amd64 2:1.21-76
2026-03-15 01:27:49 status installed default-jre-headless:amd64 2:1.21-76
2026-03-15 01:27:49 configure default-jre:amd64 2:1.21-76 <none>
2026-03-15 01:27:49 status unpacked default-jre:amd64 2:1.21-76
2026-03-15 01:27:49 status half-configured default-jre:amd64 2:1.21-76
2026-03-15 01:27:49 status installed default-jre:amd64 2:1.21-76
2026-03-15 01:27:49 configure openjdk-21-jdk:amd64 21.0.9+10-1~25.04 <none>
2026-03-15 01:27:49 status unpacked openjdk-21-jdk:amd64 21.0.9+10-1~25.04
2026-03-15 01:27:49 status half-configured openjdk-21-jdk:amd64 21.0.9+10-1~25.04
2026-03-15 01:27:49 status installed openjdk-21-jdk:amd64 21.0.9+10-1~25.04
2026-03-15 01:27:49 configure default-jdk-headless:amd64 2:1.21-76 <none>
2026-03-15 01:27:49 status unpacked default-jdk-headless:amd64 2:1.21-76
2026-03-15 01:27:49 status half-configured default-jdk-headless:amd64 2:1.21-76
2026-03-15 01:27:49 status installed default-jdk-headless:amd64 2:1.21-76
2026-03-15 01:27:49 configure default-jdk:amd64 2:1.21-76 <none>
2026-03-15 01:27:49 status unpacked default-jdk:amd64 2:1.21-76
2026-03-15 01:27:49 status half-configured default-jdk:amd64 2:1.21-76
2026-03-15 01:27:49 status installed default-jdk:amd64 2:1.21-76
2026-03-26 14:18:13 startup archives unpack
2026-03-26 14:18:13 install libiperf0:amd64 <none> 3.18-2
2026-03-26 14:18:13 status triggers-pending libc-bin:amd64 2.41-6ubuntu1.2
2026-03-26 14:18:13 status half-installed libiperf0:amd64 3.18-2
2026-03-26 14:18:13 status unpacked libiperf0:amd64 3.18-2
2026-03-26 14:18:13 install iperf3:amd64 <none> 3.18-2
2026-03-26 14:18:13 status half-installed iperf3:amd64 3.18-2
2026-03-26 14:18:13 status triggers-pending ufw:all 0.36.2-9
2026-03-26 14:18:13 status triggers-pending man-db:amd64 2.13.0-1
2026-03-26 14:18:13 status unpacked iperf3:amd64 3.18-2
2026-03-26 14:18:13 startup packages configure
2026-03-26 14:18:13 configure libiperf0:amd64 3.18-2 <none>
2026-03-26 14:18:13 status unpacked libiperf0:amd64 3.18-2
2026-03-26 14:18:13 status half-configured libiperf0:amd64 3.18-2
2026-03-26 14:18:13 status installed libiperf0:amd64 3.18-2
2026-03-26 14:18:13 configure iperf3:amd64 3.18-2 <none>
2026-03-26 14:18:13 status unpacked iperf3:amd64 3.18-2
2026-03-26 14:18:13 status half-configured iperf3:amd64 3.18-2
2026-03-26 14:18:13 status installed iperf3:amd64 3.18-2
2026-03-26 14:18:13 trigproc ufw:all 0.36.2-9 <none>
2026-03-26 14:18:13 status half-configured ufw:all 0.36.2-9
2026-03-26 14:18:14 status installed ufw:all 0.36.2-9
2026-03-26 14:18:14 trigproc man-db:amd64 2.13.0-1 <none>
2026-03-26 14:18:14 status half-configured man-db:amd64 2.13.0-1
2026-03-26 14:18:14 status installed man-db:amd64 2.13.0-1
2026-03-26 14:18:14 trigproc libc-bin:amd64 2.41-6ubuntu1.2 <none>
2026-03-26 14:18:14 status half-configured libc-bin:amd64 2.41-6ubuntu1.2
2026-03-26 14:18:14 status installed libc-bin:amd64 2.41-6ubuntu1.2
2026-03-26 15:52:23 startup archives unpack
2026-03-26 15:52:23 install libfmt10:amd64 <none> 10.1.1+ds1-4
2026-03-26 15:52:23 status triggers-pending libc-bin:amd64 2.41-6ubuntu1.2
2026-03-26 15:52:23 status half-installed libfmt10:amd64 10.1.1+ds1-4
2026-03-26 15:52:23 status unpacked libfmt10:amd64 10.1.1+ds1-4
2026-03-26 15:52:23 install ccache:amd64 <none> 4.10.2-1build1
2026-03-26 15:52:23 status half-installed ccache:amd64 4.10.2-1build1
2026-03-26 15:52:23 status triggers-pending man-db:amd64 2.13.0-1
2026-03-26 15:52:23 status unpacked ccache:amd64 4.10.2-1build1
2026-03-26 15:52:23 startup packages configure
2026-03-26 15:52:23 configure libfmt10:amd64 10.1.1+ds1-4 <none>
2026-03-26 15:52:23 status unpacked libfmt10:amd64 10.1.1+ds1-4
2026-03-26 15:52:23 status half-configured libfmt10:amd64 10.1.1+ds1-4
2026-03-26 15:52:23 status installed libfmt10:amd64 10.1.1+ds1-4
2026-03-26 15:52:23 configure ccache:amd64 4.10.2-1build1 <none>
2026-03-26 15:52:23 status unpacked ccache:amd64 4.10.2-1build1
2026-03-26 15:52:23 status half-configured ccache:amd64 4.10.2-1build1
2026-03-26 15:52:23 status installed ccache:amd64 4.10.2-1build1
2026-03-26 15:52:23 trigproc libc-bin:amd64 2.41-6ubuntu1.2 <none>
2026-03-26 15:52:23 status half-configured libc-bin:amd64 2.41-6ubuntu1.2
2026-03-26 15:52:23 status installed libc-bin:amd64 2.41-6ubuntu1.2
2026-03-26 15:52:23 trigproc man-db:amd64 2.13.0-1 <none>
2026-03-26 15:52:23 status half-configured man-db:amd64 2.13.0-1
2026-03-26 15:52:24 status installed man-db:amd64 2.13.0-1
2026-03-26 16:48:38 startup archives unpack
2026-03-26 16:48:38 install meson:all <none> 1.7.0-1ubuntu1
2026-03-26 16:48:38 status half-installed meson:all 1.7.0-1ubuntu1
2026-03-26 16:48:38 status triggers-pending man-db:amd64 2.13.0-1
2026-03-26 16:48:38 status unpacked meson:all 1.7.0-1ubuntu1
2026-03-26 16:48:38 startup packages configure
2026-03-26 16:48:38 configure meson:all 1.7.0-1ubuntu1 <none>
2026-03-26 16:48:38 status unpacked meson:all 1.7.0-1ubuntu1
2026-03-26 16:48:38 status half-configured meson:all 1.7.0-1ubuntu1
2026-03-26 16:48:39 status installed meson:all 1.7.0-1ubuntu1
2026-03-26 16:48:39 trigproc man-db:amd64 2.13.0-1 <none>
2026-03-26 16:48:39 status half-configured man-db:amd64 2.13.0-1
2026-03-26 16:48:39 status installed man-db:amd64 2.13.0-1
2026-03-26 16:54:17 startup archives unpack
2026-03-26 16:54:17 install clang-format-20:amd64 <none> 1:20.1.2-0ubuntu1
2026-03-26 16:54:17 status half-installed clang-format-20:amd64 1:20.1.2-0ubuntu1
2026-03-26 16:54:17 status triggers-pending man-db:amd64 2.13.0-1
2026-03-26 16:54:17 status unpacked clang-format-20:amd64 1:20.1.2-0ubuntu1
2026-03-26 16:54:17 install clang-format:amd64 <none> 1:20.0-63ubuntu1
2026-03-26 16:54:17 status half-installed clang-format:amd64 1:20.0-63ubuntu1
